idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
1,사 국 ,서하 ,리지 ,차기 가주 ,여성 군대 ,아니다,예쁘다,가능하다,높다,궁금하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,릴리 안 ,레온 딘 ,윌리엄 ,책 ,엘리엇 ,멋지다,활발하다,발랄하다,우울하다,멋있다,으스스하다,암울하다,이러하다,그러하다,다르다,음산하다,넘치다,안좋다,야하다,순수하다
4,베 리그 ,애 미 ,로 설 ,블랙 까망 ,본드 족 ,짠하다,나쁘다,열렬하다,깊다,탄탄하다,탄탄하다,귀찮다,불편하다,새롭다,유일하다,안타깝다,솔직하다,더하다,필요하다,분하다
5,송 유 ,제갈 수광 ,절정 고수 ,동부 지맹 ,천마 ,좋아하다,그렇다,선하다,이상하다,우승하다,NULL,NULL,NULL,NULL,NULL,친하다,힘들다,좋다,뒤늦다,성공하다
6,주인공 ,강화 전사 ,검술 재능 ,지구 최강 ,지구의 마나 ,흥미롭다,통쾌하다,있다,특이하다,이러하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,있다,반하다,미치다,없다,수많다,없다,있다,반하다,수많다,많다,NULL,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL,좋다,뛰어나다,나쁘다,평범하다,같다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,급 헌터 ,유진 ,주인공 ,던전 안 ,프로필 카드 ,약하다,아니다,우선하다,특이하다,가깝다,애매하다,지루하다,다름없다,수많다,그렇다,무겁다,밉다,짜릿하다,지겹다,구질구질하다
10,함 아카데미 ,학원 물 ,피아노 천재 ,예고 천재 ,초월 마법 ,없다,특별하다,무섭다,안녕하다,그렇다,이렇다,많다,있다,같다,무능력하다,실망하다,비슷하다,당하다,완벽하다,그렇다
11,한국 쉘터 ,김밥 조 ,성호 ,장원 택 ,안근 석 ,짜증나다,없다,멸망하다,올바르다,평온하다,유일하다,변하다,높다,갑작스럽다,자세하다,NULL,NULL,NULL,NULL,NULL
12,강 신혁 ,헌터 물 ,토 이카 ,히어로 유니버스 ,체육 대회 ,뻔하다,성장하다,신선하다,이쁘다,끊임없다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,그루 밤 ,주인공 ,잠재력 ,작품 ,플레이어 ,강하다,지루하다,성장하다,안되다,부탁드리다,강하다,같다,좋다,어떻다,재미있다,NULL,NULL,NULL,NULL,NULL
15,반려 동물 ,체이스 교수 ,관련 영상 ,장 스티치 ,동물병원 ,없다,싫어하다,어렵다,경미하다,특별하다,아쉽다,들뜨다,유명하다,멋지다,괜찮다,NULL,NULL,NULL,NULL,NULL
16,정밀 기계 ,이창진 은 ,사업 실패 ,회사 ,재벌 스토리 ,있다,성공하다,어렵다,뻔하다,똑똑하다,성공하다,뻔하다,인하다,필요하다,젊다,NULL,NULL,NULL,NULL,NULL
17,케일 ,힘 ,마 탑 ,용 혼혈 ,에르 하 ,별다르다,유능하다,불과하다,안락하다,멸망하다,특출나다,안타깝다,그만하다,조용하다,답답하다,멀쩡하다,더럽다,평탄하다,완전하다,높다
18,급 헌터 ,먼치킨 웹툰 ,주인공 성진우 ,주인공 ,던전 ,풋풋하다,강하다,선하다,급격하다,무능력하다,특출나다,환생하다,탄탄하다,지루하다,뻔하다,답답하다,유머러스하다,심하다,행복하다,쓸데없다
19,무협 ,남궁 소 ,마 회귀 ,검 감 ,도화 곡 ,원하다,충분하다,간단하다,용감하다,침착하다,신비하다,용감하다,무능하다,간단하다,별다르다,담백하다,빠르다,확실하다,더하다,진중하다
20,아카데미 물 ,파쿠 리 ,메인 스토리 ,주인공 ,히로인 이랑 ,아니다,많다,그렇다,열광하다,아쉽다,많다,열광하다,있다,그렇다,아쉽다,NULL,NULL,NULL,NULL,NULL
21,망나니 왕자 ,마나 하트 ,그루 혼 ,문 피아 ,주인공 ,유쾌하다,얼떨떨하다,상당하다,복되다,끊임없다,얼떨떨하다,드물다,상당하다,미치다,끊임없다,치밀하다,딱딱하다,담백하다,완벽하다,행복하다
22,재벌 스토리 ,주인공 ,그룹 ,산업 ,시절 ,어렵다,힘들다,아무렇다,너무하다,똑같다,재미있다,인하다,힘들다,달콤하다,성하다,NULL,NULL,NULL,NULL,NULL
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,뽕 맛 ,주인공 세력 ,주인공 ,회귀 헌터 ,능력 ,그렇다,비싸다,참신하다,좋다,새롭다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,퓨전 판타지 ,주인공 ,작품 ,갯장어 장르 ,현대 파트 ,성장하다,새롭다,답답하다,대단하다,흥미롭다,어떻다,같다,미안하다,단순하다,없다,미치다,특정하다,만족스럽다,단순하다,미안하다
26,재벌 물 ,주인공 ,주인공 치킨 ,주변 인물 ,캐릭터 등장 ,있다,뛰어나다,독특하다,어떻다,같다,그렇다,없다,조용하다,아니다,어렵다,조용하다,까다롭다,없다,아니다,유치하다
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,유일신 ,주인공 ,작품 ,갓 메이커 ,성 미리 ,안되다,조용하다,그렇다,바쁘다,아쉽다,없다,아쉽다,바쁘다,공정하다,비슷하다,좋아하다,필요하다,드물다,진정하다,낮다
29,천 회귀 ,회차 목표 ,주인공 ,대륙 지배자 ,보스 등장 ,같다,암울하다,갑작스럽다,그렇다,유쾌하다,NULL,NULL,NULL,NULL,NULL,같다,갑작스럽다,암울하다,유쾌하다,그렇다
30,아이템 설명 ,먼치킨 성좌 ,초반 부 ,주인공 ,인공지능 ,있다,그렇다,성공하다,중요하다,얄팍하다,지독하다,얄팍하다,안되다,성장하다,엄청나다,NULL,NULL,NULL,NULL,NULL
31,연애 내용 ,순간 ,주인공 ,집 ,강화 ,없다,딱하다,같다,가능하다,엄청나다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,멀린 ,마법 ,마나 하트 ,포스 베스 ,자신 ,부담스럽다,중요하다,정확하다,편하다,없다,NULL,NULL,NULL,NULL,NULL,의하다,충분하다,위대하다,엄청나다,아깝다
34,단우 현은 ,록 아 ,마 존 ,넘 강 ,무극 신마 ,좋다,인하다,무심하다,밉다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,아기 물 ,우 ,윤 ,다 아기 ,천재 배우 ,수많다,필요하다,희다,고만하다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,김 수운 ,행운 ,회사 ,회귀 물 ,출근 첫날 ,편하다,좋다,불행하다,흥미롭다,깔끔하다,깊다,아니다,괜찮다,재밌다,있다,기이하다,깔끔하다,심하다,흥미롭다,편하다
37,회귀 판타지 ,로드 그란데 ,다음 왕자 ,주인공 ,에선 주인공 ,가볍다,그렇다,같다,가능하다,무능하다,가볍다,그렇다,이렇다,흥미롭다,당연하다,NULL,NULL,NULL,NULL,NULL
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,사 파 ,주인공 ,무림 인 ,시스템 ,화전민 마을 ,다양하다,없다,빠르다,아니다,원하다,슬프다,특별하다,힘드다,연하다,좋다,안되다,아쉽다,참신하다,상당하다,재밌다
40,북 마교 ,무사 하차 ,선 작 ,신 ,리강 ,재미없다,흔하다,이렇다,어색하다,재밌다,깊숙하다,없다,강하다,비슷하다,같다,딱이다,재밌다,딱하다,무겁다,변하다
41,베 릭 ,레이 폴 ,로드 벨트 ,닐 족 ,레 딘 ,밉다,빠르다,빨르다,붉다,재밌다,NULL,NULL,NULL,NULL,NULL,무겁다,가볍다,자세하다,쏠쏠하다,힘드다
42,리어 한 ,게임 ,주인공 ,성민 ,달 토끼 ,성공하다,멸망하다,변하다,난하다,괜찮다,없다,어떻다,확실하다,있다,난하다,놀래다,상쾌하다,답답하다,어이없다,급격하다
43,물 ,사람 ,주인공 ,작가 ,보좌관 ,가볍다,재밌다,같다,좋다,많다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,김 재주 ,탑 ,인방 물 ,포 포 ,주인공 ,젊다,뚜렷하다,있다,아깝다,재미있다,괜찮다,좋아하다,재밌다,소소하다,적응하다,싫어하다,솔직하다,필요없다,익숙하다,높다
45,NULL,NULL,NULL,NULL,NULL,아니다,아쉽다,재미있다,같다,좋다,있다,재미있다,아니다,안녕하다,당하다,NULL,NULL,NULL,NULL,NULL
46,주인공 ,형사 물 ,재벌 아들 ,현대 판타지 ,게임 방송 ,거대하다,다양하다,빠르다,힘들다,부옇다,간략하다,유연하다,재미있다,신나다,부옇다,NULL,NULL,NULL,NULL,NULL
47,양 세가 ,주인공 ,활 심 ,영 마가 ,마지막 비인 ,있다,그렇다,필요하다,성공하다,오만하다,재미있다,그렇다,오만하다,얄밉다,변하다,NULL,NULL,NULL,NULL,NULL
48,작품 작가 ,금 수저 ,아기 때 ,주인공 ,회귀 ,있다,인하다,싫다,아니다,좋다,궁금하다,가능하다,환생하다,없다,이렇다,NULL,NULL,NULL,NULL,NULL
49,마지막 결전 ,주인공 ,힘 ,반지 ,아버지 ,아니다,없다,새롭다,재미있다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,급 스키 ,김 공자 ,주인공 ,회귀 물 ,노아 작가 ,아무렇다,단순하다,끊임없다,빈약하다,실패하다,독특하다,신선하다,탄탄하다,부실하다,익숙하다,NULL,NULL,NULL,NULL,NULL
52,임 말 ,한 건사 ,익 문 ,입 신체 ,빙 ,쌈박하다,상관없다,재밌다,깊다,신기하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,NULL,NULL,NULL,NULL,NULL,잘생기다,그렇다,아니다,꼬이다,똑같다,있다,아니다,좋아하다,그렇다,꼬이다,NULL,NULL,NULL,NULL,NULL
54,매니저 물 ,전생 이 ,설정 ,주인공 능력 ,작품 ,그렇다,안되다,같다,있다,아니다,NULL,NULL,NULL,NULL,NULL,적당하다,좋다,인하다,굉장하다,좋아하다
55,벼랑 끝 ,막장 드라마 속 ,현대 판타지 ,작품 바로 가기 ,이벤트 안녕하세요 ,어떻다,착하다,성공하다,수많다,같다,NULL,NULL,NULL,NULL,NULL,무의미하다,좋다,유치하다,아니다,충실하다
56,표 국 ,진호 ,석가 장 ,탁 윤 ,당 하린 ,그렇다,있다,아니다,없다,의하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,휴 이 ,복수 ,밀림 ,힘 ,동료 ,빠르다,특별하다,지겹다,없다,차갑다,빠르다,특별하다,수많다,지겹다,찬란하다,NULL,NULL,NULL,NULL,NULL
58,컬러 립 ,샷 오브 ,오일 틴트 ,공통 루트 ,중병 캐릭터 ,유명하다,곤란하다,평범하다,귀엽다,안녕하다,인하다,같다,당하다,맑다,발랄하다,청순하다,발랄하다,있다,원하다,인하다
59,명장 이태수 ,세계 최고 ,회귀 ,스토리 ,승승장구 ,새롭다,안녕하다,딱하다,없다,부탁드리다,있다,부탁드리다,재밌다,어떻다,휩쓸다,NULL,NULL,NULL,NULL,NULL
60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,NULL,NULL,NULL,NULL,NULL,새롭다,안녕하다,좋다,없다,평범하다,있다,재미있다,갑작스럽다,부드럽다,안녕하다,NULL,NULL,NULL,NULL,NULL
62,NULL,NULL,NULL,NULL,NULL,같다,어떻다,성스럽다,곱다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,주인공 ,성장 ,어비스 ,총 ,자신 ,같다,의하다,시원하다,흔하다,흥미롭다,무섭다,드물다,같다,흔하다,평범하다,NULL,NULL,NULL,NULL,NULL
64,축구 가방 ,앵 귤 ,대표 팀 ,에릭 센 ,쿠션 제품 ,패배하다,어이없다,재미없다,무뚝뚝하다,더럽다,NULL,NULL,NULL,NULL,NULL,무섭다,젊다,길다,부럽다,낮다
65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,NULL,NULL,NULL,NULL,NULL,성공하다,신선하다,비상하다,허무하다,좋다,신선하다,있다,높다,찬란하다,이렇다,NULL,NULL,NULL,NULL,NULL
67,완 ,강혁 ,드 마스터 ,최강 프로게이머 ,켄 신 ,같다,안되다,있다,불편하다,이렇다,이렇다,기대하다,가볍다,안되다,딱이다,NULL,NULL,NULL,NULL,NULL
68,러 레 ,키 프로 ,전나무 성 ,메 티오 ,로 지아 ,높다,당연하다,허무하다,이렇다,낮다,재밌다,안되다,없다,빼어나다,중요하다,젊다,이쁘다,이렇다,비슷하다,낮다
69,우연 우 ,아이돌 물 ,문 피아 ,현대 판타지 ,소머리 요괴 ,쎄다,불쾌하다,오싹하다,거만하다,그렇다,안녕하다,비슷하다,빡치다,선명하다,잘생기다,오싹하다,강하다,불쾌하다,쎄다,익숙하다
70,유명 ,연기 ,존재 감 ,문 유석 ,연 귀 ,철저하다,힘드다,불편하다,성공하다,기쁘다,흥미롭다,가볍다,지루하다,안타깝다,느리다,NULL,NULL,NULL,NULL,NULL
71,브리 센 ,칼리안 ,카이 리스 ,티 아 ,레 넌 ,차분하다,간단하다,아프다,스럽다,흥미롭다,꾸준하다,힘들다,안녕하다,치열하다,어지간하다,확실하다,다행하다,의하다,없다,슬프다
72,김진 모 ,안시현 ,필 감독 ,회귀 전 ,차기 작 ,괜찮다,아니다,빠르다,가능하다,길다,NULL,NULL,NULL,NULL,NULL,차갑다,어리바리하다,자연스럽다,많다,망하다
73,부검 내용 ,검시관 스토리 ,요괴 ,주인공 ,택 ,있다,흔하다,의하다,아니다,힘드다,있다,독하다,흔하다,의하다,흥미롭다,NULL,NULL,NULL,NULL,NULL
74,레일 ,필스 타인 ,엘프 ,우 포 ,퓨전 판타지 ,좋다,뛰어나다,힘드다,필요하다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,강 태우 ,마 홍매 ,돈 ,생각 ,봉 추 ,덥다,쏠쏠하다,어느새다,시끄럽다,같다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,양봉 장르 ,이벤트 안녕하세요 ,무료 선물 ,저자 ,세계 ,갑작스럽다,힘들다,건강하다,인하다,없다,갑작스럽다,건강하다,힘들다,재미있다,인하다,NULL,NULL,NULL,NULL,NULL
77,그룹 ,주인공 ,범람 ,스토리 ,성공 ,처참하다,같다,여전하다,당하다,좋다,있다,재미있다,안녕하다,억울하다,좋아하다,NULL,NULL,NULL,NULL,NULL
78,주인공 ,성장 ,비트코인 ,이야기 ,회사 ,아쉽다,성공하다,궁금하다,즐겁다,흥미롭다,더하다,궁금하다,흥미롭다,있다,즐겁다,NULL,NULL,NULL,NULL,NULL
79,추천 추 ,무한 전생 ,당 결제 ,방랑 기사 ,이 세계 ,망하다,박하다,없다,있다,즐겁다,재미있다,아니다,없다,같다,재밌다,NULL,NULL,NULL,NULL,NULL
80,임 말 ,미 해군 ,역사 물 ,근육 조선 ,북한 ,든든하다,적합하다,중요하다,수많다,우수하다,방대하다,깊다,여전하다,느리다,막연하다,NULL,NULL,NULL,NULL,NULL
81,미카엘 ,레온 이 ,메이비 게임 ,여주 ,마르타 공주 ,다행하다,어색하다,있다,가볍다,아련하다,까맣다,궁금하다,없다,미안하다,부끄럽다,어색하다,뻔하다,나쁘다,멋지다,예쁘다
82,이 카드 ,이야기 바다 ,파 로키 ,하루 ,자신 묘지 ,파란만장하다,미천하다,직하다,성장하다,강하다,탄탄하다,간략하다,직하다,무겁다,지루하다,색다르다,아쉽다,판이하다,독특하다,상당하다
83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,광 마 ,검 비달 ,문 피아 ,무협 작품 ,천하제일 인 ,같다,좋다,비슷하다,아니다,망하다,NULL,NULL,NULL,NULL,NULL,상관없다,유치하다,좋아하다,새롭다,이렇다
85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,중반 부 ,주인공 ,메인 스토리 ,성장 ,언데드 ,있다,높다,약하다,강하다,성장하다,약하다,갑작스럽다,높다,아쉽다,있다,NULL,NULL,NULL,NULL,NULL
87,경훈 ,진샤 웨이 ,마나 석 ,평행 차원 ,강경 훈 ,평범하다,미묘하다,비슷하다,느리다,성장하다,뻔하다,싫어하다,충분하다,수많다,맛있다,막막하다,좁다,뻔하다,큼지막하다,맛있다
88,기 영 ,주인공 ,주인공 이기영 ,사람 ,흙 수저 ,독특하다,없다,있다,뛰어나다,특이하다,가볍다,상당하다,이러하다,색다르다,예쁘다,특이하다,가볍다,그러하다,정확하다,느리다
89,담 화공 ,판게아 대륙 ,주인공 ,강철 인 ,대군주 ,어느새다,엄청나다,치열하다,적응하다,인하다,어떻다,두렵다,의하다,특출나다,원하다,NULL,NULL,NULL,NULL,NULL
90,던전 농지 ,헌터 물 ,바위 벌 ,건우 ,주인공 ,가능하다,답답하다,황당하다,순진하다,무책임하다,적합하다,귀엽다,굉장하다,순하다,평화롭다,황당하다,무책임하다,가능하다,잔잔하다,흔하다
91,마 족 ,마계 인류 ,엑셀 트리오 ,용 혈 ,인마 대전 ,충분하다,의하다,인하다,그렇다,가깝다,가깝다,특별하다,독하다,넘치다,없다,변하다,화하다,독하다,없다,아프다
92,보안관 사상 ,글 ,판타지 무협 ,작품 ,업 회귀 ,뛰어나다,평화롭다,판무하다,강화하다,훈훈하다,암울하다,끔찍하다,자세하다,그릇되다,변하다,우울하다,급격하다,이렇다,그릇되다,당연하다
93,웹 소 ,텔 기아 ,직 관력 ,재앙 ,연재 주인공 ,불편하다,진실되다,두렵다,특출나다,복잡하다,멋지다,급하다,일정하다,쓸데없다,작다,재미없다,귀찮다,이러하다,아리송하다,싫다
5001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5006,이 여주 ,부인 백작 ,내용 ,여주인공 ,황제 ,복잡하다,있다,부족하다,없다,같다,사소하다,다양하다,전무하다,무섭다,이쁘다,NULL,NULL,NULL,NULL,NULL
5008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5009,가을 심부름센터 ,자신 ,현성 ,과거 ,남 ,없다,기쁘다,힘겹다,같다,그을리다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5012,남 주 ,남 주 ,여주 ,주가 ,매우 취향 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5013,이준기 ,사람 ,남자 배우 ,을 방영 ,때 ,심각하다,아무렇다,희다,자만하다,강렬하다,곱다,힘들다,추하다,성숙하다,조용하다,정교하다,그러하다,대단하다,깊다,가혹하다
